"","AIC","AUC","Accuracy"
"BUT1_P ~ log(MS_Hist) + S1_93_11 + BRK2_P + BRK2_P*log(MS_Hist) + BRK2_P*S1_93_11 + (1 + log(MS_Hist) + BRK2_P | Patch)",472.522703770152,0.967064595087952,0.896825396825397
"BUT1_P ~ log(MS_Hist) + S1_93_11 + SLOPE + BRK2_P + BRK2_P*log(MS_Hist) + (1 + log(MS_Hist) + BRK2_P | Patch)",473.232575093424,0.967998050116163,0.895238095238095
"BUT1_P ~ log(MS_Hist) + S1_93_11 + BRK2_P + BRK2_P*log(MS_Hist) + (1 + log(MS_Hist) + BRK2_P | Patch)",471.286374811918,0.968018793561235,0.893650793650794
"BUT1_P ~ log(MS_Hist) + S1_93_11 + SLOPE + BRK2_P + BRK2_P*S1_93_11 + (1 + log(MS_Hist) + BRK2_P | Patch)",472.960230952846,0.966898647527381,0.896825396825397
"BUT1_P ~ log(MS_Hist) + S1_93_11 + BRK2_P + BRK2_P*S1_93_11 + (1 + log(MS_Hist) + BRK2_P | Patch)",470.897429504134,0.967106081978095,0.896825396825397
"BUT1_P ~ log(MS_Hist) + S1_93_11 + SLOPE + BRK2_P + (1 + BRK2_P + log(MS_Hist) | Patch)",471.775792052392,0.967852846000664,0.893650793650794
"BUT1_P ~ log(MS_Hist) + S1_93_11 + BRK2_P + (1 + log(MS_Hist) + BRK2_P | Patch)",469.711612874322,0.96810176734152,0.893650793650794
