"","AIC","AUC","Accuracy"
"BUT1_P ~ log(MS_Hist) + S1_93_11 + SLOPE + BRK2_P + BRK2_P*log(MS_Hist) + BRK2_P*S1_93_11 + (1 | Patch)",480.416945135767,0.955282318287421,0.885714285714286
"BUT1_P ~ log(MS_Hist) + S1_93_11 + SLOPE + BRK2_P + BRK2_P*log(MS_Hist) + BRK2_P*S1_93_11 + (1 + S1_93_11 | Patch)",482.965979972239,0.955946108529705,0.892063492063492
"BUT1_P ~ log(MS_Hist) + S1_93_11 + SLOPE + BRK2_P + BRK2_P*log(MS_Hist) + BRK2_P*S1_93_11 + (1 + log(MS_Hist) | Patch)",479.251841991615,0.962075796548291,0.89047619047619
"BUT1_P ~ log(MS_Hist) + S1_93_11 + SLOPE + BRK2_P + BRK2_P*log(MS_Hist) + BRK2_P*S1_93_11 + (1 + BRK2_P | Patch)",475.332344499963,0.959327290076336,0.892063492063492
"BUT1_P ~ log(MS_Hist) + S1_93_11 + SLOPE + BRK2_P + BRK2_P*log(MS_Hist) + BRK2_P*S1_93_11 + (1 + S1_93_11 + log(MS_Hist) | Patch)",483.201490104089,0.962760330235646,0.888888888888889
"BUT1_P ~ log(MS_Hist) + S1_93_11 + SLOPE + BRK2_P + BRK2_P*log(MS_Hist) + BRK2_P*S1_93_11 + (1 + S1_93_11 + BRK2_P | Patch)",475.020457820694,0.963787130766678,0.901587301587302
"BUT1_P ~ log(MS_Hist) + S1_93_11 + SLOPE + BRK2_P + BRK2_P*log(MS_Hist) + BRK2_P*S1_93_11 + (1 + log(MS_Hist) + BRK2_P | Patch)",474.541841618749,0.966929762694988,0.896825396825397
"BUT1_P ~ log(MS_Hist) + S1_93_11 + SLOPE + BRK2_P + BRK2_P*log(MS_Hist) + BRK2_P*S1_93_11 + (1 + S1_93_11 + log(MS_Hist) + BRK2_P | Patch)",474.884129036551,0.971182168934617,0.9
